title,genres,year
No Strings Attached,"Comedy,Romance",2011
Tombstone,"Action,Adventure,Drama,History,Western",1993
Romeo Must Die,"Action,Crime,Thriller",2000
The Omen,"Horror,Thriller",1976
Final Destination 3,"Horror,Mystery",2006
The Lucky One,"Drama,Romance",2012
Bridge to Terabithia,"Adventure,Drama,Family",2007
A Madea Christmas,"Comedy,Drama",2013
The Grey,"Action,Drama,Thriller",2012
Hide and Seek,"Horror,Mystery,Thriller",2005
GoodFellas,"Drama,Crime",1990
Nanny McPhee,"Fantasy,Comedy,Family",2005
Scarface,"Action,Crime,Drama,Thriller",1983
Nothing to Lose,"Action,Adventure,Comedy",1997
The Last Emperor,"Drama,History",1987
Contraband,"Thriller,Action,Drama,Crime",2012
Money Talks,"Action,Adventure,Comedy",1997
The Wild Thornberrys Movie,"Animation,Adventure,Family",2002
Rugrats Go Wild,"Animation,Family",2003
Undercover Brother,"Action,Comedy",2002
The Sisterhood of the Traveling Pants,"Drama,Comedy",2005
Kiss of the Dragon,"Action,Crime,Thriller",2001
The House Bunny,"Romance,Comedy",2008
Beauty Shop,"Comedy,Romance",2005
The Giver,"Drama,Science Fiction",2014
Jeepers Creepers 2,"Horror,Thriller",2003
Good Luck Chuck,"Comedy,Drama,Romance",2007
Cradle 2 the Grave,"Action,Crime,Drama",2003
She's the Man,"Comedy,Drama,Family,Romance",2006
Mr. Bean's Holiday,"Family,Comedy",2007
Anacondas: The Hunt for the Blood Orchid,"Adventure,Action,Horror,Science Fiction,Thriller",2004
Blood Ties,"Thriller,Crime,Drama",2013
Elizabeth,"Drama,History",1998
Bride of Chucky,"Horror,Comedy",1998
Tora! Tora! Tora!,"History,Action,Drama,Adventure,War",1970
Spice World,"Adventure,Fantasy,Drama,Comedy,Music",1997
Dance Flick,"Action,Comedy,Music",2009
The Shawshank Redemption,"Drama,Crime",1994
Crocodile Dundee in Los Angeles,"Adventure,Comedy",2001
The Gambler,"Thriller,Crime,Drama",2014
August: Osage County,"Comedy,Drama",2013
Ice Princess,"Drama,Comedy,Family",2005
Eddie the Eagle,"Comedy,Drama,History",2016
Don Juan DeMarco,"Romance,Drama,Comedy",1994
Dear John,"Drama,Romance,War",2010
The Losers,"Action,Adventure,Crime,Mystery,Thriller",2010
Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller",2010
War,"Action,Thriller,Crime",2007
Punch-Drunk Love,"Comedy,Drama,Romance",2002
Half Past Dead,"Crime,Action,Thriller",2002
Unaccompanied Minors,"Comedy,Family",2006
The Adventures of Pinocchio,"Animation,Family,Fantasy",1996
The Greatest Game Ever Played,"Drama,Family",2005
The Box,"Thriller,Science Fiction",2009
The Ruins,"Drama,Horror",2008
My Soul to Take,"Drama,Horror,Mystery,Thriller",2010
Maximum Risk,"Action,Adventure,Thriller",1996
Stealing Harvard,"Action,Comedy,Drama",2002
Legend,"Crime,Thriller",2015
Hot Rod,"Action,Comedy",2007
Shark Night,"Horror,Thriller",2011
Lifeforce,"Fantasy,Horror,Science Fiction,Thriller",1985
The Conspirator,"Crime,Drama,History",2010
The 33,"Drama,History",2015
Big Trouble in Little China,"Action,Adventure,Comedy,Fantasy",1986
Fly Me to the Moon,"Comedy,Romance",2012
Warrior,"Action,Drama",2011
Michael Collins,"Drama,Thriller",1996
Gettysburg,"War,Drama,History",1993
Stop-Loss,"Drama,War",2008
Abandon,"Drama,Mystery,Thriller",2002
Brokedown Palace,"Drama,Thriller",1999
The Possession,"Horror,Thriller",2012
Mrs. Winterbourne,"Comedy,Romance,Drama",1996
Straw Dogs,"Drama,Thriller",2011
The Hoax,"Comedy,Drama",2006
Stone Cold,"Action,Crime,Thriller",1991
The Road,"Adventure,Drama",2009
Sheena,"Action,Adventure,Comedy,Fantasy,Science Fiction",1984
Underclassman,"Action,Comedy",2005
Say It Isn't So,"Comedy,Romance",2001
Tank Girl,"Action,Comedy,Fantasy,Science Fiction",1995
King's Ransom,"Comedy,Crime",2005
Blindness,"Drama,Mystery,Science Fiction,Thriller",2008
BloodRayne,"Action,Adventure,Fantasy,Horror",2005
Carnage,"Comedy,Drama",2011
Where the Truth Lies,"Drama,Mystery,Thriller",2005
Cirque du Soleil: Worlds Away,"Fantasy,Family",2012
Me and Orson Welles,"Comedy,Drama,Romance",2009
The Best Offer,"Drama,Romance,Crime,Mystery",2013
The Bad Lieutenant: Port of Call - New Orleans,"Drama,Crime",2009
A Turtle's Tale: Sammy's Adventures,"Animation,Family",2010
Little White Lies,"Comedy,Drama",2010
The True Story of Puss 'n Boots,"Family,Adventure,Animation",2009
Space Dogs,"Family,Animation",2010
The Counselor,"Thriller,Crime,Drama",2013
Ironclad,"Romance,Adventure,Action,History",2011
Waterloo,"History,Action,Drama",1970
Kung Fu Jungle,"Crime,Action,Thriller",2014
Red Sky,"Action,Thriller",2014
Dangerous Liaisons,"Drama,Romance",1988
On the Road,"Adventure,Drama",2012
Star Trek IV: The Voyage Home,"Science Fiction,Adventure",1986
Scream 2,"Horror,Mystery",1997
Jane Got a Gun,"Action,Drama,Western",2016
Think Like a Man Too,"Comedy,Romance",2014
The Whole Nine Yards,"Comedy,Crime",2000
Footloose,"Drama,Family,Music,Romance",1984
The Fisher King,"Comedy,Drama",1991
I Still Know What You Did Last Summer,"Horror,Mystery,Thriller",1998
Return to Me,"Romance,Comedy,Drama",2000
Nurse Betty,"Comedy,Crime,Thriller",2000
The Men Who Stare at Goats,"Comedy,War",2009
Double Take,"Adventure,Drama,Action,Comedy,Romance",2001
Win a Date with Tad Hamilton!,"Comedy,Romance",2004
Muppets from Space,"Fantasy,Comedy,Science Fiction,Family",1999
The Wiz,"Adventure,Family,Fantasy,Music",1978
Ready to Rumble,"Action,Comedy,Drama",2000
Play It to the Bone,"Comedy,Drama",1999
I Don't Know How She Does It,"Romance,Comedy",2011
Piranha 3D,"Comedy,Horror",2010
Beyond the Sea,"Drama,Music",2004
Meet the Deedles,"Animation,Comedy,Family",1998
The Thief and the Cobbler,"Adventure,Fantasy,Animation,Science Fiction,Family",1993
The Bridge of San Luis Rey,"Romance,Drama",2004
Faster,"Crime,Drama,Action,Thriller",2010
Howl's Moving Castle,"Fantasy,Animation,Adventure",2004
Zombieland,"Comedy,Horror",2009
The Empire Strikes Back,"Adventure,Action,Science Fiction",1980
Bad Boys,"Action,Comedy,Crime,Thriller",1995
The Naked Gun 2½: The Smell of Fear,"Comedy,Crime",1991
Pitch Black,"Thriller,Science Fiction,Action",2000
Someone Like You...,"Comedy,Romance",2001
Her,"Romance,Science Fiction,Drama",2013
Joy Ride,"Mystery,Thriller,Drama",2001
The Adventurer: The Curse of the Midas Box,"Fantasy,Adventure,Family",2013
Anywhere But Here,"Drama,Comedy,Romance",1999
The Crew,"Action,Comedy",2000
Haywire,"Action,Thriller",2011
Jaws: The Revenge,"Adventure,Thriller",1987
The Longshots,"Drama,Family",2008
Harley Davidson and the Marlboro Man,"Action,Thriller",1991
In the Valley of Elah,"History,Drama,Thriller,Crime,Mystery",2007
Coco Before Chanel,"Drama,History",2009
Forsaken,"Western,Drama",2015
Cheri,"Drama,Comedy,Romance",2009
Vanity Fair,"Drama,Romance",2004
Bodyguards and Assassins,"Drama,Action,History",2009
1408,"Horror,Thriller",2007
Spaceballs,"Comedy,Science Fiction",1987
The Water Diviner,"War,Drama",2014
Ghost,"Fantasy,Drama,Thriller,Mystery,Romance",1990
There's Something About Mary,"Romance,Comedy",1998
The Santa Clause,"Fantasy,Drama,Comedy,Family",1994
The Rookie,"Drama,Family",2002
The Game Plan,"Comedy,Family",2007
The Bridges of Madison County,"Drama,Romance",1995
The Animal,"Action,Comedy",2001
Gandhi,"Drama,History",1982
The Net,"Crime,Drama,Mystery,Thriller,Action",1995
Underworld,"Fantasy,Action,Thriller",2003
Derailed,"Drama,Thriller",2005
The Informant!,"Drama,Comedy,Crime",2009
Shadowlands,"Drama,Romance",1993
Saving Silverman,"Comedy,Crime,Romance",2001
Diary of a Wimpy Kid: Dog Days,"Comedy,Family",2012
Summer of Sam,"Thriller,Drama,Crime,Romance",1999
The Glass House,"Drama,Thriller",2001
"Hail, Caesar!","Comedy,Drama,Mystery",2016
Josie and the Pussycats,"Comedy,Music",2001
Homefront,"Action,Thriller",2013
The Little Vampire,"Family,Horror",2000
I Heart Huckabees,"Comedy,Romance",2004
RoboCop 3,"Action,Adventure,Crime,Science Fiction,Thriller",1993
Megiddo: The Omega Code 2,"Action,Science Fiction,Thriller",2001
Darling Lili,"Drama,Comedy,Thriller,Music,Romance",1970
Dudley Do-Right,"Comedy,Family,Romance",1999
The Transporter Refueled,"Thriller,Action,Crime",2015
The Libertine,"Drama,Romance",2004
Black Book,"Drama,Thriller,War",2006
Joyeux Noël,"Romance,Drama,History,War,Music",2005
Hit & Run,"Action,Comedy,Romance",2012
Mad Money,"Action,Comedy,Crime",2008
Before I Go to Sleep,"Mystery,Thriller",2014
Sorcerer,"Action,Thriller,Adventure",1977
Moliere,"Romance,Drama,Comedy",2007
Out of the Furnace,"Thriller,Drama,Crime",2013
Michael Clayton,"Drama,Mystery,Crime",2007
My Fellow Americans,"Comedy,Drama",1996
Arlington Road,"Drama,Thriller,Mystery",1999
Underdogs,"Animation,Adventure,Romance",2013
To Rome with Love,"Romance,Comedy",2012
Firefox,"Science Fiction,Action,Adventure,Thriller",1982
"South Park: Bigger, Longer & Uncut","Animation,Comedy,Music",1999
Death at a Funeral,"Comedy,Drama",2007
Teenage Mutant Ninja Turtles III,"Action,Adventure,Comedy,Family,Fantasy,Science Fiction",1993
Hardball,"Comedy,Romance",2001
Silver Linings Playbook,"Drama,Comedy,Romance",2012
Freedom Writers,"Crime,Drama",2007
The Transporter,"Action,Crime,Thriller",2002
Never Back Down,"Drama,Action",2008
The Rage: Carrie 2,"Horror,Thriller,Science Fiction",1999
Away We Go,"Drama,Comedy,Romance",2009
Swing Vote,"Drama,Comedy",2008
Moonlight Mile,"Romance,Drama",2002
Tinker Tailor Soldier Spy,"Drama,Thriller,Mystery",2011
Molly,"Drama,Comedy,Romance",1999
eXistenZ,"Action,Thriller,Science Fiction,Horror",1999
Raiders of the Lost Ark,"Adventure,Action",1981
Home Alone 2: Lost in New York,"Comedy,Family,Adventure,Crime",1992
Close Encounters of the Third Kind,"Science Fiction,Drama",1977
Pulse,"Horror,Thriller",2006
Beverly Hills Cop II,"Action,Comedy,Crime",1987
The Silence of the Lambs,"Crime,Drama,Thriller",1991
Wayne's World,"Music,Comedy",1992
Jackass 3D,"Comedy,Documentary,Action",2010
Jaws 2,"Horror,Thriller",1978
Beverly Hills Chihuahua,"Adventure,Comedy,Family",2008
The Conjuring,"Horror,Thriller",2013
Are We There Yet?,"Adventure,Comedy,Family,Romance",2005
School of Rock,"Comedy,Music",2003
Mortal Kombat,"Action,Fantasy",1995
The Descendants,"Comedy,Drama",2011
Holes,"Adventure,Family,Drama,Comedy",2003
The Last Song,"Drama,Family,Romance",2010
12 Years a Slave,"Drama,History",2013
Drumline,"Drama,Romance,Comedy,Music",2002
Why Did I Get Married Too?,"Comedy,Romance",2010
Edward Scissorhands,"Fantasy,Drama,Romance",1990
Me Before You,"Drama,Romance",2016
Madea's Witness Protection,"Drama,Comedy,Crime",2012
The French Connection,"Action,Crime,Thriller",1971
Return to Never Land,"Adventure,Fantasy,Animation,Family",2002
Selma,"History,Drama",2014
The Jungle Book 2,"Family,Animation,Adventure",2003
Boogeyman,"Thriller,Horror,Drama,Mystery",2005
Premonition,"Thriller,Drama,Mystery",2007
The Tigger Movie,"Animation,Family",2000
Orphan,"Horror,Thriller,Mystery",2009
Max,"Adventure,Drama,Family",2015
Epic Movie,"Action,Adventure,Comedy",2007
Spotlight,"Drama,Thriller,History",2015
Lakeview Terrace,"Drama,Crime,Thriller",2008
The Grudge 2,"Horror,Thriller",2006
How Stella Got Her Groove Back,"Comedy,Drama,Romance",1998
Bill & Ted's Bogus Journey,"Adventure,Comedy,Family,Fantasy,Science Fiction",1991
Man of the Year,"Comedy,Drama,Romance,Thriller",2006
The Black Hole,"Adventure,Family,Science Fiction,Action",1979
The American,"Crime,Drama,Thriller",2010
Vampires Suck,"Horror,Comedy",2010
This Is Where I Leave You,"Drama,Comedy",2014
Doubt,"Drama,Mystery",2008
Team America: World Police,"Music,Adventure,Animation,Action,Comedy",2004
Texas Chainsaw 3D,"Horror,Thriller",2013
Copycat,"Drama,Thriller",1995
Paint Your Wagon,"Drama,Action,Comedy,Western,Music",1969
Milk,"History,Drama",2008
Ghost Ship,"Horror,Mystery,Thriller",2002
Wild Things,"Crime,Drama,Mystery",1998
The Stepfather,"Horror,Thriller,Mystery",2009
The Debt,"Drama,Thriller",2010
High Fidelity,"Comedy,Drama,Romance,Music",2000
One Missed Call,"Horror,Mystery,Thriller",2008
Eye for an Eye,"Drama,Thriller",1996
The Bank Job,"Thriller,Crime,Drama",2008
Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance",2004
You Again,"Comedy,Romance",2010
Street Kings,"Action,Crime,Drama,Thriller",2008
The World's End,"Comedy,Action,Science Fiction",2013
Nancy Drew,"Action,Adventure,Crime,Family,Mystery,Thriller",2007
Daybreakers,"Fantasy,Horror,Action,Thriller,Science Fiction",2009
She's Out of My League,"Comedy,Romance",2010
Monte Carlo,"Adventure,Comedy,Romance",2011
Stay Alive,"Horror,Thriller",2006
Quigley Down Under,"Romance,Action,Adventure,Western,Drama",1990
Alpha and Omega,"Family,Animation",2010
The Covenant,"Action,Adventure,Fantasy,Horror,Science Fiction,Thriller",2006
Stick It,"Comedy,Drama",2006
Shorts,"Comedy,Family",2009
To Die For,"Fantasy,Drama,Comedy,Thriller",1995
Nerve,"Mystery,Adventure,Crime",2016
Appaloosa,"Drama,Western,Crime",2008
Vampires,"Action,Drama,Fantasy,Horror,Thriller",1998
Psycho,"Drama,Horror,Thriller",1960
My Best Friend's Girl,"Romance,Comedy",2008
Endless Love,"Drama,Romance",2014
Georgia Rule,"Comedy,Drama,Romance",2007
Ladyhawke,"Adventure,Drama,Fantasy,Romance",1985
Simon Birch,"Comedy,Drama,Family",1998
Into the Wild,"Adventure,Drama",2007
School for Scoundrels,"Comedy,Drama,Romance",2006
Silent Hill: Revelation 3D,"Thriller,Horror,Mystery",2012
From Dusk Till Dawn,"Horror,Action,Thriller,Crime",1996
Pooh's Heffalump Movie,"Animation,Family",2005
Home for the Holidays,"Comedy,Drama,Romance",1995
Kung Fu Hustle,"Action,Comedy,Crime,Fantasy",2004
The Country Bears,"Adventure,Comedy,Family",2002
21 Grams,"Drama,Crime,Thriller",2003
Paparazzi,"Action,Drama,Thriller",2004
A Guy Thing,"Comedy,Romance",2003
Loser,"Drama,Comedy,Romance,Family",2000
The Greatest Story Ever Told,"Drama,History",1965
Secret in Their Eyes,"Crime,Drama,Mystery",2015
Disaster Movie,"Action,Comedy",2008
Armored,"Action,Crime,Drama,Thriller",2009
The Man Who Knew Too Little,"Comedy,Thriller,Crime,Action",1997
What's Your Number?,"Comedy,Romance",2011
Lockout,"Action,Thriller,Science Fiction",2012
Crank: High Voltage,"Action,Thriller,Crime",2009
Bullets Over Broadway,"Action,Comedy,Thriller",1994
The Quiet American,"Drama,Action,Thriller,Romance",2002
The Weather Man,"Comedy,Drama",2005
Undisputed,"Action,Adventure,Drama,Thriller",2002
Ghost Town,"Comedy,Fantasy,Romance",2008
12 Rounds,"Action,Adventure,Drama,Thriller",2009
Let Me In,"Drama,Horror,Mystery",2010
3 Ninjas Kick Back,"Adventure,Action,Comedy,Family",1994
Be Kind Rewind,"Drama,Comedy",2008
Mrs Henderson Presents,"Comedy,Drama",2005
Triple 9,"Action,Thriller",2016
Deconstructing Harry,"Comedy,Drama",1997
Three to Tango,"Comedy,Romance",1999
We're No Angels,"Comedy,Crime,Drama",1989
Everyone Says I Love You,"Music,Comedy,Romance",1996
Death Sentence,"Action,Crime,Drama,Thriller",2007
Superbabies: Baby Geniuses 2,"Comedy,Family",2004
The Man,"Action,Comedy,Crime",2005
Code Name: The Cleaner,"Action,Comedy,Crime",2007
Sweet Charity,"Comedy,Drama,Music,Romance",1969
Inherent Vice,"Comedy,Romance,Crime,Drama,Mystery",2014
Battle of the Year,"Music,Drama",2013
An American Carol,"Comedy,Fantasy",2008
Machete Kills,"Action,Crime,Thriller",2013
Topsy-Turvy,"Comedy,Drama,Music",1999
Little Boy,"Comedy,Drama,War",2015
A Dangerous Method,"Drama,Thriller",2011
A Scanner Darkly,"Animation,Science Fiction,Thriller",2006
Alone in the Dark,"Action,Fantasy,Horror,Thriller",2005
Bandslam,"Comedy,Drama,Family,Music",2009
Birth,"Drama,Mystery,Thriller",2004
A Most Violent Year,"Crime,Drama,Thriller",2014
Passchendaele,"Drama,Romance,War,History",2008
I'm Not There.,"Drama,Music",2007
The Cold Light of Day,"Action,Thriller",2012
The Brothers Bloom,"Adventure,Comedy,Drama,Romance",2008
Princess Mononoke,"Adventure,Fantasy,Animation",1997
Bon voyage,"Comedy,Drama,Foreign",2003
Can't Stop the Music,"Comedy,Music",1980
The Proposition,"Action,Adventure,Crime,Drama,Thriller,Western",2005
Equilibrium,"Action,Science Fiction,Thriller",2002
The Children of Huang Shi,"Drama,War",2008
The Yards,"Drama,Action,Thriller,Crime",2000
By the Sea,"Drama,Romance",2015
Steamboy,"Animation,Fantasy,Science Fiction",2004
All Good Things,"Drama,Mystery,Thriller,Crime,Romance",2010
CJ7,"Comedy,Drama,Family,Fantasy,Science Fiction",2008
The Visitors II: The Corridors of Time,"Comedy,Fantasy",1998
Dylan Dog: Dead of Night,"Action,Comedy,Horror,Mystery,Science Fiction,Thriller",2011
People I Know,"Drama,Thriller",2002
The Tempest,"Drama,Fantasy",2010
Regression,"Horror,Mystery,Thriller",2015
Three Kingdoms: Resurrection of the Dragon,"Action,History,Drama",2008
Butterfly on a Wheel,"Crime,Drama,Thriller",2007
Zambezia,"Comedy,Animation,Adventure,Family",2012
Ramanujan,"Drama,History",2014
The Frozen Ground,"Thriller,Crime",2013
The Painted Veil,"Drama,Romance",2006
The Baader Meinhof Complex,"Action,Crime,Drama,History,Thriller",2008
Dances with Wolves,"Adventure,Drama,Western",1990
Sea of Love,"Drama,Crime,Mystery",1989
Scream,"Crime,Horror,Mystery",1996
Thir13en Ghosts,"Horror,Thriller",2001
The Shining,"Horror,Thriller",1980
Back to the Future,"Adventure,Comedy,Science Fiction,Family",1985
House on Haunted Hill,"Horror,Mystery,Thriller",1999
I Can Do Bad All By Myself,"Drama,Comedy",2009
Fight Valley,"Action,Drama",2016
The Switch,"Comedy,Romance,Drama",2010
The Devil's Double,"Drama,Action,Thriller,Crime,War",2011
Thomas and the Magic Railroad,"Animation,Drama,Family,Science Fiction",2000
The Crazies,"Mystery,Horror,Action",2010
Spirited Away,"Fantasy,Adventure,Animation,Family",2001
Firestorm,"Action,Crime",2013
The Bounty,"Action,Drama,History",1984
Sex Drive,"Comedy,Adventure,Romance",2008
Leap Year,"Romance,Comedy",2010
The Fall of the Roman Empire,"Drama,History",1964
Take Me Home Tonight,"Comedy,Drama,Romance",2011
The Nutcracker,"Family,Fantasy,Music",1993
Kansas City,"Thriller,Drama,Music,Crime",1996
The Amityville Horror,"Horror,Thriller,Drama",2005
Adaptation.,"Comedy,Crime,Drama",2002
Fear and Loathing in Las Vegas,"Adventure,Drama,Comedy",1998
The Invention of Lying,"Comedy,Romance,Fantasy",2009
The Mask,"Romance,Comedy,Crime,Fantasy",1994
Big,"Fantasy,Drama,Comedy,Romance,Family",1988
Star Trek III: The Search for Spock,"Science Fiction,Action,Adventure,Thriller",1984
The Exorcism of Emily Rose,"Crime,Drama,Horror,Thriller",2005
Left Behind,"Thriller,Action,Science Fiction",2014
The Family Stone,"Comedy,Drama,Romance",2005
Barbershop 2:  Back in Business,"Comedy,Drama",2004
Bad Santa,"Drama,Comedy,Crime",2003
Austin Powers: International Man of Mystery,"Science Fiction,Comedy,Crime",1997
My Big Fat Greek Wedding 2,"Romance,Comedy,Family",2016
Diary of a Wimpy Kid: Rodrick Rules,"Family,Comedy",2011
Predator,"Science Fiction,Action,Adventure,Thriller",1987
Amadeus,"Drama,History,Music",1984
Prom Night,"Crime,Horror",2008
Under the Tuscan Sun,"Comedy,Drama,Romance",2003
Gosford Park,"Drama,Mystery,Thriller",2001
Peggy Sue Got Married,"Comedy,Drama,Fantasy,Romance",1986
Birdman,"Drama,Comedy",2014
Blue Jasmine,"Comedy,Drama",2013
United 93,"Drama,History,Crime,Thriller,Action",2006
Honey,"Romance,Music,Family",2003
Spy Hard,"Action,Comedy",1996
Soul Surfer,"Action,Drama",2011
Catch-22,"War,Comedy,Drama",1970
Observe and Report,"Comedy,Crime,Drama",2009
Conan the Destroyer,"Adventure,Fantasy,Action",1984
Love Happens,"Drama,Romance",2009
Young Sherlock Holmes,"Action,Adventure,Crime,Drama,Family,Mystery,Thriller",1985
Fame,"Music,Comedy,Drama,Romance",2009
127 Hours,"Adventure,Drama,Thriller",2010
Small Time Crooks,"Action,Comedy,Crime",2000
Center Stage,"Drama,Music",2000
Love the Coopers,"Comedy,Family",2015
Catch That Kid,"Family,Action,Adventure",2004
Steve Jobs,"Drama,History",2015
"I Love You, Beth Cooper","Comedy,Romance",2009
Youth in Revolt,"Drama,Comedy,Romance",2009
The Legend of the Lone Ranger,"Action,Adventure,Romance,Western",1981
The Tailor of Panama,"Drama,Thriller",2001
Blow Out,"Drama,Mystery,Thriller",1981
Getaway,"Action,Crime",2013
And So It Goes,"Comedy,Drama,Romance",2014
Troop Beverly Hills,"Adventure,Comedy,Family",1989
Being Julia,"Comedy,Drama,Romance",2004
Nine 1/2 Weeks,"Drama,Romance",1986
The Last Station,"Drama,Romance",2009
Ed Wood,"Comedy,Drama,History",1994
RockNRolla,"Action,Crime,Thriller",2008
Megaforce,"Adventure,Action,Science Fiction",1982
Mao's Last Dancer,"Drama,Romance",2009
Midnight Special,"Adventure,Drama,Science Fiction",2016
Anything Else,"Comedy,Romance",2003
The Railway Man,"Drama,History",2013
The White Ribbon,"Crime,Drama,Mystery",2009
The Wraith,"Romance,Science Fiction,Horror,Action,Crime",1986
Salton Sea,"Drama,Mystery,Thriller",2002
Carlos,"Crime,Drama,Thriller,History",2010
I Come with the Rain,"Thriller,Drama",2009
One Man's Hero,"Western,Action,Drama,History",1999
Day of the Dead,"Horror,Science Fiction",1985
I Am Wrath,"Action,Crime,Drama,Thriller",2016
Renaissance,"Action,Animation,Science Fiction",2006
Red Sonja,"Adventure,Fantasy,Action",1985
Madea Goes to Jail,"Comedy,Crime,Drama",2009
Wolves,"Horror,Action",2014
Step Up 2: The Streets,"Music,Drama,Romance",2008
Hoodwinked!,"Animation,Comedy,Family",2005
Hotel Rwanda,"Drama,History,War",2004
Hitman,"Action,Crime,Drama,Thriller",2007
Black Nativity,"Drama,Music",2013
The Prince,"Thriller,Action",2014
The Others,"Horror,Drama,Mystery,Thriller",2001
Aliens,"Horror,Action,Thriller,Science Fiction",1986
My Fair Lady,"Drama,Family,Music,Romance",1964
I Know What You Did Last Summer,"Horror,Thriller,Mystery",1997
Sideways,"Comedy,Drama,Romance",2004
Halloween,"Horror,Thriller",1978
Good Boy!,"Comedy,Family,Science Fiction",2003
Smokin' Aces,"Action,Comedy,Crime,Thriller",2006
Saw: The Final Chapter,"Horror,Crime",2010
40 Days and 40 Nights,"Comedy,Romance",2002
Beastly,"Drama,Fantasy,Romance",2011
The Hills Have Eyes,"Horror,Thriller",2006
Pitch Perfect,"Comedy,Music,Romance",2012
Summer Catch,"Drama,Comedy,Romance",2001
A Simple Plan,"Drama,Crime,Thriller",1998
They,"Horror,Thriller",2002
Brooklyn's Finest,"Crime,Drama,Thriller",2009
55 Days at Peking,"Action,Drama,History",1963
My Life in Ruins,"Comedy,Romance",2009
American Dreamz,"Comedy,Drama,Family",2006
Superman IV: The Quest for Peace,"Action,Adventure,Science Fiction",1987
Running Scared,"Action,Crime,Drama,Thriller",2006
The Illusionist,"Fantasy,Drama,Thriller,Romance",2006
Roar,"Adventure,Thriller",1981
Veronica Guerin,"Drama,Crime,Thriller",2003
Escobar: Paradise Lost,"Thriller,Romance",2014
Southland Tales,"Action,Adventure,Comedy,Drama,Science Fiction,Thriller",2006
Dragon Hunters,"Animation,Family",2008
Damnation Alley,"Action,Adventure,Science Fiction",1977
The Apparition,"Horror,Thriller",2012
My Girl,"Comedy,Drama,Family",1991
Fur: An Imaginary Portrait of Diane Arbus,"Drama,Mystery,Romance",2006
Wall Street,"Crime,Drama",1987
Sense and Sensibility,"Drama,Romance",1995
Becoming Jane,"Drama,Romance",2007
When Harry Met Sally...,"Comedy,Romance,Drama",1989
Road Trip,"Comedy,Adventure",2000
Varsity Blues,"Comedy,Drama,Romance",1999
The Artist,"Drama,Comedy,Romance",2011
The Unborn,"Horror,Thriller,Mystery",2009
Moonrise Kingdom,"Comedy,Drama,Romance",2012
The Master of Disguise,"Comedy,Family",2002
Pan's Labyrinth,"Fantasy,Drama,War",2006
See Spot Run,"Action,Comedy,Family",2001
Baby Boy,"Crime,Drama,Romance",2001
The Roommate,"Thriller,Drama,Horror",2011
Joe Dirt,"Mystery,Adventure,Comedy,Romance,Drama",2001
Double Impact,"Thriller,Action,Crime,Drama",1991
Hot Fuzz,"Crime,Action,Comedy",2007
The Women,"Comedy,Drama,Romance",2008
Vicky Cristina Barcelona,"Drama,Romance",2008
Arn: The Knight Templar,"Action,Adventure,Drama,Romance",2007
Boys and Girls,"Comedy,Drama,Romance",2000
Jennifer's Body,"Comedy,Horror",2009
Drowning Mona,"Comedy,Crime,Mystery",2000
Radio Days,"Comedy,Drama",1987
Remember Me,"Drama,Romance",2010
How to Deal,"Drama,Comedy,Romance",2003
My Stepmother is an Alien,"Comedy,Science Fiction",1988
The Thirteenth Floor,"Thriller,Science Fiction,Mystery",1999
The Cookout,"Comedy,Drama",2004
Meteor,"Action,Science Fiction,Thriller",1979
Duets,"Comedy,Drama,Music",2000
Hollywood Ending,"Comedy,Drama",2002
Detroit Rock City,"Comedy,Music",1999
Highlander,"Adventure,Action,Fantasy",1986
Steel,"Science Fiction,Action,Adventure",1997
The Immigrant,"Drama,Romance",2013
The White Countess,"Drama,History,Family,Romance",2005
Trance,"Thriller,Crime,Drama,Mystery",2013
Soul Plane,"Romance,Comedy",2004
Enter the Void,"Fantasy,Drama",2009
Vamps,"Comedy,Romance,Horror",2012
Hachi: A Dog's Tale,"Drama,Family",2009
Zulu,"Crime,Drama,Thriller",2013
The Homesman,"Western,Drama",2014
Juwanna Mann,"Comedy,Drama",2002
Ararat,"War,Drama",2002
Madison,"Action,Adventure,Drama",2001
Slow Burn,"Mystery,Crime,Drama,Thriller",2005
Wasabi,"Drama,Action,Comedy",2001
Slither,"Comedy,Horror,Science Fiction",2006
Beverly Hills Cop,"Action,Comedy,Crime",1984
Home Alone,"Comedy,Family",1990
Three Men and a Baby,"Family,Comedy,Drama",1987
Tootsie,"Comedy,Romance",1982
Top Gun,"Action,Romance,War",1986
"Crouching Tiger, Hidden Dragon","Adventure,Drama,Action,Romance",2000
The King's Speech,"Drama,History",2010
The Yellow Handkerchief,"Drama,Romance",2008
Tidal Wave,"Action,Adventure,Drama,Thriller",2009
The Imitation Game,"History,Drama,Thriller,War",2014
Coal Miner's Daughter,"Drama,Music",1980
Diary of a Wimpy Kid,"Comedy,Family",2010
National Lampoon's Vacation,"Comedy,Adventure,Romance",1983
Beetlejuice,"Fantasy,Comedy",1988
Why Did I Get Married?,"Comedy,Drama",2007
Little Women,"Drama,Romance",1994
The Woman in Black,"Drama,Horror,Thriller",2012
When a Stranger Calls,"Horror,Thriller",2006
Big Fat Liar,"Comedy,Family",2002
The Deer Hunter,"Drama,War",1978
Wag the Dog,"Comedy,Drama",1997
